Document ID,Document,Question,Answer
1,The Earth orbits the Sun in approximately 365.25 days.,How long does it take the Earth to orbit the Sun?,It takes approximately 365.25 days.
2,The capital of France is Paris. It is known for its Eiffel Tower.,What is the capital of France?,The capital of France is Paris.
3,Machine learning is a field of artificial intelligence that uses algorithms to learn from data.,What is machine learning?,Machine learning is a field of AI that uses algorithms to learn from data.
4,The process of photosynthesis allows plants to convert light energy into chemical energy.,What is photosynthesis?,Photosynthesis is the process by which plants convert light energy into chemical energy.
5,"Python is a versatile programming language that is easy to learn and widely used for web development, data science, and automation.",What is Python?,"Python is a versatile programming language used for web development, data science, and automation."
6,"Albert Einstein was a theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics.",Who developed the theory of relativity?,Albert Einstein.
7,"The Great Wall of China is a series of fortifications that stretch across northern China, built primarily for defense purposes.",What is the Great Wall of China?,The Great Wall of China is a series of fortifications built for defense purposes.
8,"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France, and is one of the most recognizable structures in the world.",Where is the Eiffel Tower located?,"The Eiffel Tower is located in Paris, France."
9,Our return policy allows customers to return products within 30 days of purchase.,What is your return policy?,You can return products within 30 days.
10,We offer a 24/7 customer support hotline for any technical issues.,How can I contact customer support?,You can contact customer support via our 24/7 hotline.
11,Our shipping takes 5-7 business days depending on your location.,How long does shipping take?,Shipping takes 5-7 business days.
